Date;Suburb;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h)
1/1/24;Jarrahdale;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17.01;30.09.00;9;11.08;WSW;31
1/1/24;Darling Downs;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;16;27.08.00;14.02;11.08;SW;48
1/1/24;Serpentine;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17.09;24.00.00;14.02;12.05;SSW;67
1/15/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;21.08;36.06.00;11;12.01;W;43
1/15/24;Yanchep;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;21.03;38.01.00;14.02;12.05;WSW;43
1/15/24;Wanneroo;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;22.03;34.04.00;11;12.01;WSW;26
1/15/24;Pinjar;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;21.08;36.06.00;11;12.01;W;43
1/15/24;Yanchep;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;21.03;38.01.00;14.02;12.05;WSW;43
1/15/24;Wanneroo;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;22.03;34.04.00;11;12.01;WSW;26
1/15/24;Pinjar;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;21.08;36.06.00;11;12.01;W;43
1/15/24;Jarrahdale;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;21.02;38.01.00;11;12.01;W;30
