Date;Suburb;Location;Area;Maximum_temperature(C);Evaporation(mm)
1/15/24;Serpentine;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;33;14,02
1/15/24;Jarrahdale;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;38;11
1/15/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;34;14,02
1/15/24;Serpentine;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;33;14,02
1/22/24;Gnangara;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO;28;10,02
1/22/24;Wanneroo;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO;28;10,02
1/22/24;Pinjar;MUCHEA and PINJAR;SHIRE OF CHITTERING and CITY OF WANNEROO;29;10,02
12/9/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;29;14,02
12/9/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;29;10,02
12/9/23;Bullsbrook;BULLSBROOK;CITY OF SWAN;29;14,02
12/9/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;29;10,02
12/9/23;Ellenbrook;ELLENBROOK;CITY OF SWAN;28;10,02
12/9/23;Ellenbrook;ELLENBROOK;CITY OF SWAN;28;10,02
12/23/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;36;14,02
12/23/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;36;14,02
12/23/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;36;14,02
12/23/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;35;8,04
12/23/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;35;8,04
12/23/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;35;8,04
12/23/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;35;7,01
12/23/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;36;14,02
12/23/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;35;8,04
12/23/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;35;8,04
12/23/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;35;7,01
