Date;Suburb;Location;Area;Minimum_temperature (C);Maximum_temperature (C);Evaporation(mm);Sunshine(hours);Speed_of_maximum_wind_gust(km/h)
12/25/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,09;35;14,02;12,05;33
12/25/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,08;27;14,02;12,05;44
12/25/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38;9,04;12;33
12/25/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38;9,04;12;33
12/25/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,01;38;8,01;12;33
12/25/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,02;38;14,02;12,05;56
12/25/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;19,02;38;14,02;12,05;56
12/25/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;19,02;38;14,02;12,05;56
12/25/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38;9,04;12;33
12/25/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38;9,04;12;33
12/25/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,01;38;8,01;12;33
12/25/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,02;38;14,02;12,05;56
12/25/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;20,01;36;14,02;12;41
12/25/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37;9,04;12;41
12/25/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19,05;38;9,04;12;33
