Date;Suburb;Location;Area;Maximum temperature (�C);Evaporation (mm)
2/8/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;36.05.00;14,02
2/8/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;40.09.00;11,08
2/8/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;40.09.00;11,08
2/8/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;40.05.00;14,02
2/8/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;40.09.00;11,08
2/8/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;36.05.00;14,02
2/8/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;40.00.00;14,02
2/8/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;36.05.00;14,02
2/8/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;41;14,02
2/8/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;41;14,02
2/22/24;Eglinton;EGLINTON and YANCHEP;CITY OF WANNEROO;32.02.00;8,06
2/22/24;Yanchep;EGLINTON and YANCHEP;CITY OF WANNEROO;32.07.00;14,02
2/22/24;Wanneroo;EGLINTON and YANCHEP;CITY OF WANNEROO;32.02.00;8,06
2/22/24;Eglinton;EGLINTON and YANCHEP;CITY OF WANNEROO;32.02.00;8,06
2/22/24;Yanchep;EGLINTON and YANCHEP;CITY OF WANNEROO;32.07.00;14,02
2/22/24;Wanneroo;EGLINTON and YANCHEP;CITY OF WANNEROO;32.02.00;8,06
2/29/24;Wanneroo;NEERABUP and NOWERGUP;CITY OF WANNEROO;33.05.00;7,08
2/29/24;Nowergup;NEERABUP and NOWERGUP;CITY OF WANNEROO;36.09.00;7,08
2/29/24;Neerabup;NEERABUP and NOWERGUP;CITY OF WANNEROO;37;14,02
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;37;7,08
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;33.02.00;14,02
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;24.09.00;14,02
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;37;7,08
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;33.02.00;14,02
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;24.09.00;14,02
2/29/24;Wanneroo;NEERABUP and NOWERGUP;CITY OF WANNEROO;33.05.00;7,08
2/29/24;Nowergup;NEERABUP and NOWERGUP;CITY OF WANNEROO;36.09.00;7,08
2/29/24;Neerabup;NEERABUP and NOWERGUP;CITY OF WANNEROO;37;14,02
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;37;7,08
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;33.02.00;14,02
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;24.09.00;14,02
2/29/24;Karnup;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;37;7,08
2/29/24;Baldivis;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;33.02.00;14,02
2/29/24;Rockingham;KARNUP and BALDIVIS;CITY OF ROCKINGHAM;24.09.00;14,02
2/29/24;Bertram;BERTRAM;CITY OF KWINANA;24.09.00;14,02
1/4/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;31.09.00;14,02
1/4/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;31.09.00;14,02
1/18/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;26.08.00;10
1/18/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;26.08.00;10
12/5/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;28.03.00;8,04
12/5/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;28.03.00;8,04
12/26/23;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;28.03.00;10,06
12/26/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;28.06.00;10,06
12/26/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;28.06.00;10,06
12/26/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;27.01.00;9,01
12/26/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;28.06.00;14,02
12/26/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;28.06.00;14,02
12/26/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;28.06.00;14,02
12/26/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;28.06.00;10,06
12/26/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;27.05.00;14,02
12/26/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;24.00.00;14,02
12/26/23;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;28.03.00;10,06
12/26/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;28.06.00;10,06
12/26/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;27.05.00;14,02
12/26/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;24.00.00;14,02
12/26/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;28.06.00;10,06
